image_path,title,description,link,board,alt_text
public/pinterest/rose-trellis-arch.jpg,"Rose Trellis Arch Coloring Page","Cozy coloring page with rose trellis arch. Print at home and start coloring for free!",https://tinyanimalworlds.com/coloring/rose-trellis-arch,"Tiny Animal Worlds","Rose Trellis Arch — free printable cozy coloring coloring page for kids and adults"
public/pinterest/herb-garden-kitchen.jpg,"Herb Garden Kitchen Coloring Page","Free JPG coloring page: herb garden kitchen. Great for creative fun and relaxation.",https://tinyanimalworlds.com/coloring/herb-garden-kitchen,"Garden Coloring Pages","Herb Garden Kitchen — free printable cozy coloring coloring page for kids and adults"
public/pinterest/sunflower-field-walk.jpg,"Sunflower Field Walk Coloring Page","Coloring page of sunflower field walk. Free printable JPG — perfect for kids, teens, and adults.",https://tinyanimalworlds.com/coloring/sunflower-field-walk,"Garden Coloring Pages","Sunflower Field Walk — free printable cozy coloring coloring page for kids and adults"
public/pinterest/butterfly-garden-path.jpg,"Butterfly Garden Path Coloring Page","Printable coloring page featuring butterfly garden path. Download, print, and color today!",https://tinyanimalworlds.com/coloring/butterfly-garden-path,"Garden Coloring Pages","Butterfly Garden Path — free printable cozy coloring coloring page for kids and adults"
public/pinterest/bedtime-story-scene.jpg,"Bedtime Story Scene Coloring Page","Free printable bedtime story scene. A cozy coloring page for all ages. Download JPG now!",https://tinyanimalworlds.com/coloring/bedtime-story-scene,"Cozy Coloring Pages","Bedtime Story Scene — free printable cozy coloring coloring page for kids and adults"
public/pinterest/hammock-reading-nook.jpg,"Hammock Reading Nook Coloring Page","Adorable printable coloring page: hammock reading nook. Relax and enjoy this cozy scene today.",https://tinyanimalworlds.com/coloring/hammock-reading-nook,"Bookstore Coloring Pages","Hammock Reading Nook — free printable cozy coloring coloring page for kids and adults"
public/pinterest/blanket-fort-reading.jpg,"Blanket Fort Reading Coloring Page","blanket fort reading — a free printable coloring page from Tiny Animal Worlds. Download now!",https://tinyanimalworlds.com/coloring/blanket-fort-reading,"Bookstore Coloring Pages","Blanket Fort Reading — free printable cozy coloring coloring page for kids and adults"
public/pinterest/fireplace-reading-spot.jpg,"Fireplace Reading Spot Coloring Page","Free download: fireplace reading spot coloring page. Cute, cozy, and ready to print.",https://tinyanimalworlds.com/coloring/fireplace-reading-spot,"Bookstore Coloring Pages","Fireplace Reading Spot — free printable cozy coloring coloring page for kids and adults"
public/pinterest/window-seat-reading.jpg,"Window Seat Reading Coloring Page","Relaxing coloring page: window seat reading. Download this free printable at Tiny Animal Worlds.",https://tinyanimalworlds.com/coloring/window-seat-reading,"Bookstore Coloring Pages","Window Seat Reading — free printable cozy coloring coloring page for kids and adults"
public/pinterest/wizard-tower-study.jpg,"Wizard Tower Study Coloring Page","Download this free coloring page of wizard tower study. High-quality JPG for all ages.",https://tinyanimalworlds.com/coloring/wizard-tower-study,"Bookstore Coloring Pages","Wizard Tower Study — free printable cozy coloring coloring page for kids and adults"
